Java HotSpot(TM) 64-Bit Server VM (25.111-b14) for windows-amd64 JRE (1.8.0_111-b14), built on Sep 22 2016 19:24:05 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 15674836k(11331508k free), swap 16657876k(11949664k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
0.453: [GC (Allocation Failure) 0.453: [DefNew: 960K->63K(960K), 0.0011210 secs] 52315K->51709K(524224K), 0.0011612 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.455: [GC (Allocation Failure) 0.455: [DefNew: 959K->63K(960K), 0.0009879 secs] 52622K->52023K(524224K), 0.0010147 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.458: [GC (Allocation Failure) 0.458: [DefNew: 959K->63K(960K), 0.0010392 secs] 52935K->52335K(524224K), 0.0011438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.461: [GC (Allocation Failure) 0.461: [DefNew: 959K->64K(960K), 0.0012371 secs] 53239K->52782K(524224K), 0.0012736 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.464: [GC (Allocation Failure) 0.464: [DefNew: 960K->64K(960K), 0.0010837 secs] 53686K->53106K(524224K), 0.0011185 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.468: [GC (Allocation Failure) 0.468: [DefNew: 960K->63K(960K), 0.0009038 secs] 54014K->53405K(524224K), 0.0009292 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
0.470: [GC (Allocation Failure) 0.470: [DefNew: 959K->63K(960K), 0.0011247 secs] 54313K->53758K(524224K), 0.0011601 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.473: [GC (Allocation Failure) 0.473: [DefNew: 959K->64K(960K), 0.0010837 secs] 54666K->54085K(524224K), 0.0011210 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.476: [GC (Allocation Failure) 0.476: [DefNew: 960K->64K(960K), 0.0013286 secs] 54999K->54593K(524224K), 0.0013802 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.479: [GC (Allocation Failure) 0.479: [DefNew: 960K->63K(960K), 0.0011330 secs] 55505K->54908K(524224K), 0.0011621 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.482: [GC (Allocation Failure) 0.482: [DefNew: 959K->64K(960K), 0.0009665 secs] 55825K->55210K(524224K), 0.0009916 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
